sentence,aspect,svm,lr,bert,hybrid
It came before the day it supposed to which is great.,general,positive,positive,positive,negative
I saw the bad reviews from people saying to buy directly from Apple and I was concerned but I took my chances and am overly impressed.,general,negative,neutral,negative,negative
I'm hoping the rest of the features will be the signature quality of apple.,general,negative,negative,positive,positive
The product is prefect for everyone.,general,positive,negative,positive,positive
I had my PC laptop for 3 years and going to a MacBook Pro is like I leaped through time.,general,positive,neutral,neutral,neutral
"Other ports include FireWire 800, Gigabit Ethernet, MagSafe port, Microphone jack.",general,negative,negative,neutral,neutral
Quietest laptop I have ever owned.,general,negative,negative,neutral,positive
I decided to buy a few notebooks for my nephews for Xmas.,general,negative,neutral,neutral,neutral
The cons are more annoyances that can be lived with.,general,positive,negative,negative,negative
"So, I'm cooled on Mac buys.",general,positive,negative,neutral,neutral
"With no problems,  I'm happy with this purchase because I saved money compared to buying it anywhere else.",general,negative,negative,positive,positive
"I have an iPhone, and iPad, so it just made sense to finish off the platform by adding the Mini.",general,negative,neutral,neutral,positive
(but Office can be purchased) IF I ever need a laptop again I am for sure purchasing another Toshiba!!,general,positive,positive,positive,neutral
I will upgrade the ram myself (because with this model you can you can do it) later on.,general,negative,negative,neutral,neutral
GET THIS MACHINE,general,negative,negative,negative,neutral
"If that is the case, then I am completely happy",general,negative,negative,positive,positive
This is why I purchased a BRAND NEW LAPTOP in the first place so it wouldn't have ANY problems.,general,negative,negative,positive,positive
"When my Dell laptop gave up only after 2 1/2 years, I decided to buy MacBook Pro.",general,negative,negative,neutral,neutral
"Boot time is super fast, around anywhere from 35 seconds to 1 minute.",general,negative,negative,neutral,positive
Apple is aware of this issue and this is either old stock or a defective design involving the intel 4000 graphics chipset.,general,positive,positive,negative,negative
This is no exception.,general,negative,negative,neutral,positive
I'm the pro-active type so I went off and did some preventative fixes.,general,negative,negative,neutral,neutral
"I re-seated the ""WLAN"" card inside and re-installed the LAN device drivers.",general,negative,negative,neutral,neutral
"I can never go back to a PC now, this machine never freezes or has any problems.",general,negative,negative,positive,negative
The troubleshooting said it was the AC adaptor so we ordered a new one.,general,negative,neutral,neutral,neutral
"I was a little concerned about the touch pad based on reviews, but I've found it fine to work with.",general,negative,neutral,positive,positive
I like coming back to Mac OS but this laptop is lacking in speaker quality compared to my $400  old HP laptop.,general,positive,neutral,negative,negative
"So noise is reduced at least 50% and the heat is much better, now it doesn't feel hot but warm.",general,negative,negative,positive,positive
Just be careful; you always have to give up some good stuff for others.,general,positive,positive,negative,negative
"It doesnt get hot like my PC, with technology always at the tip of our fingertips anytime I forget how to do something i just google it.",general,negative,negative,neutral,positive
Added an iMac about 2 years later.,general,positive,positive,neutral,neutral
