sentence,aspect,svm,lr,bert,hybrid
"Nick Stef's is one of the only places worthy of going in the area, so if you happen to be by Madison Square Garden or Herald's Square check it out!",general,positive,negative,positive,positive
"Would you ever believe that when you complain about over an hour wait, when they tell you it will be 20-30 minutes, the manager tells the bartender to spill the drinks you just paid for?",general,negative,negative,negative,neutral
It took 100 years for Parisi to get around to making pizza (at least I don't think they ever made it before this year)...but it was worth the wait.,general,negative,negative,positive,positive
"Between my guest and I, we sampled at least 80% of the menu, and they were all hits.",menu,positive,neutral,positive,neutral
"The service was a bit slow and the portions are a bit small so if you are hungry and in a rush, this is not the place for you.",service,positive,negative,negative,negative
"Not to be overlooked, the service is excellent.",service,positive,negative,positive,positive
"the dinner menu offers a variety of great entrees, including fresh seafood and huge steaks, there's also a couple of non-meat alternatives.",menu,positive,neutral,positive,positive
I have been in NYC for over 10 years and could not find this delicacy east of the Hudson .,general,positive,positive,neutral,positive
I read about this place in Time Out magazine.,general,positive,negative,positive,positive
Horrible experience - stay away!,general,positive,negative,negative,negative
"Like I said, Nick and Joe's may not be everyone's favorite, but it's mine.",general,negative,negative,positive,positive
Two wasted steaks -- what a crime!,general,positive,positive,negative,negative
The fajita we tried was tasteless and burned and the mole sauce was way too sweet.,general,positive,negative,negative,negative
Its good to go there for drinks if you don't want to get drunk because you'll be lucky if you can get one drink an hour the service is so bad.,service,positive,negative,negative,negative
MY date and I both ordered the Branzini and both felt the fish was very average.,general,positive,positive,neutral,neutral
Whether one pizza place is better than another is often very subjective.,general,positive,positive,negative,negative
"They were dry, stale and pretty flavorless.",general,positive,negative,negative,negative
"THE BANANA PUDDING THEY SERVE HAS NEVER SEEN AN OVEN,THE CRABCAKES ARE WAY OVER SALTED AND DON'T GET ME STARTED ON THE VERY GREASY MAC AND CHEESE.",general,positive,positive,negative,negative
"menu - uneventful, small.",menu,positive,neutral,negative,negative
"However, the food and service and dramatically lacking.",food,positive,neutral,negative,negative
"It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from appetizers to entrees) was delectable.",service,positive,negative,positive,positive
The sushi is cut in blocks bigger than my cell phone.,general,positive,positive,negative,negative
Culinaria is a welcome addition to the Garment district- far better than any restaurant in the area.,general,positive,negative,positive,positive
You'll see a lot of people eating there after church.,general,positive,negative,positive,positive
"I would not recommend MEET at all, it is a rip off all the way from the time to step in!",general,positive,negative,negative,negative
Really Lovely dining experience in the midst of buzzing midtown area.,general,positive,negative,positive,positive
"My vegetable risotto was burnt, and infused totally in a burnt flavor.",general,positive,positive,negative,negative
The decor is what initially got me in the door.,general,positive,neutral,neutral,neutral
"A mix of students and area residents crowd into this narrow, barely there space for its quick, tasty treats at dirt-cheap prices.",general,positive,positive,negative,negative
